month,longest_attack,shortest_attack
2022-09,59.0,59.0
2022-10,480.0,30.0
2022-11,180.0,60.0
2022-12,180.0,60.0
2023-01,360.0,180.0
2023-02,850.0,125.0
2023-03,270.0,130.0
2023-04,290.0,120.0
2023-05,510.0,30.0
2023-06,360.0,150.0
2023-07,360.0,90.0
2023-08,420.0,30.0
2023-09,360.0,330.0
2023-10,540.0,540.0
2023-11,480.0,120.0
2023-12,780.0,60.0
2024-01,720.0,70.0
2024-03,420.0,240.0
2024-07,60.0,60.0
2024-08,900.0,900.0
2024-09,780.0,10.0
2024-10,1020.0,10.0
2024-11,1140.0,30.0
2024-12,1500.0,50.0
2025-01,900.0,30.0
2025-02,960.0,10.0
2025-03,900.0,360.0
2025-04,1490.0,15.0
